temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
2.835,-1154.4257333333333,0.494608512336342,0.08958518518518405,2.071416137087086
2.85,-1143.4973333333332,0.47966238357186464,0.08783703703703721,1.943526107977604
2.8649999999999998,-1134.8182666666667,0.473365830064376,0.0868389917695459,1.9173682630824072
2.88,-1125.5736,0.465714836665054,0.08568585390946452,1.86605195796055
2.895,-1117.2321333333334,0.45413630945489936,0.08366080246913551,1.7565147492411624
2.9099999999999997,-1109.8122666666666,0.448267162600359,0.0828342078189298,1.7233342075136235
2.925,-1100.9572,0.4322709052229085,0.08173935185185117,1.677293676891343
2.94,-1091.9225333333334,0.42836031340234254,0.080662037037037,1.602251587651417
2.955,-1083.2028,0.42106286162485046,0.07934650205761214,1.542297110967189
2.9699999999999998,-1074.7697333333333,0.42133738405549476,0.07812505144032764,1.4960729725224808
2.985,-1066.5993333333333,0.40977606213505235,0.07664526748971101,1.430200039686315
3.0,-1058.9358666666667,0.4052656510272651,0.07564429012345544,1.387206989454771
3.0149999999999997,-1051.4344,0.3948361969925245,0.07488508230452597,1.3688108306706144
3.03,-1044.5073333333332,0.38987895200242756,0.0737095679012334,1.3152730679080682
3.045,-1036.2172,0.38430742403446855,0.07334521604938152,1.280875920901905
3.06,-1028.5614666666668,0.3756641344886643,0.07210421810699513,1.227317335910992
3.0749999999999997,-1021.7846666666667,0.3690590059824737,0.07087397119341493,1.197603238538191
3.09,-1014.7284,0.36020753952169166,0.06965221193415608,1.1478197695994967
3.105,-1007.3906666666667,0.35776764880963347,0.06951769547325042,1.1294980354090967
3.12,-1000.2524,0.3529291712873314,0.06885504115226275,1.0949679423824807
3.135,-993.9973333333334,0.350677172214881,0.06754907407407368,1.07795950875882
3.15,-987.5488,0.34492718920606,0.06742746913580192,1.0495992726501118
3.165,-980.3252,0.33885577398692424,0.0659155864197527,1.009406675810527
3.1799999999999997,-974.0726666666667,0.3351659893890053,0.06579861111111043,1.0015117896220251
3.195,-967.3216,0.32637337809840195,0.06480931069958763,0.9596376352701128
3.21,-961.4050666666667,0.32222605831825135,0.06460689300411465,0.9560006476631464
3.225,-955.53,0.3151976142024209,0.06416059670781857,0.927152468046926
3.2399999999999998,-949.3050666666667,0.3118506453000153,0.06278317901234487,0.8923475153845087
3.255,-943.1550666666667,0.3091116290910992,0.06203811728395005,0.8715452196146748
3.27,-936.8993333333333,0.3042346625052487,0.06205246913580211,0.8623173317728421
3.2849999999999997,-931.2470666666667,0.30101610608332297,0.06130643004115173,0.8288838787845599
3.3,-926.1812,0.29152892325046714,0.06085864197530818,0.8270728473376113
3.315,-919.65,0.28973608473029255,0.059844393004114815,0.7958245032607429
3.33,-914.4974666666667,0.2860363046458192,0.05973852880658398,0.7813444262276882
3.3449999999999998,-908.4264,0.28536167971696574,0.05948786008230436,0.7750340627392616
3.36,-903.5301333333333,0.27691212975016194,0.0585638374485595,0.7499193516058884
3.375,-897.7909333333333,0.27290770429951766,0.05860745884773666,0.7508540768775048
3.3899999999999997,-891.7842666666667,0.27185319383176193,0.057854423868312306,0.7167845635513628
3.405,-887.2526666666666,0.26712602059888124,0.05748235596707792,0.7170326087382821
3.42,-881.9426666666667,0.2629357391056374,0.0576740740740738,0.7051975971891715
3.435,-876.4012,0.2610976811574232,0.05614398148148055,0.6705502335945529
3.4499999999999997,-872.7566666666667,0.2582572385255276,0.05569681069958789,0.6619974548060925
3.465,-866.934,0.25449576949995983,0.05599876543209815,0.6697122157732883
3.48,-861.9552,0.2515492665284645,0.0554977880658435,0.6526574240329154
3.4949999999999997,-856.7425333333333,0.25090078365310536,0.054834927983538645,0.6421824612458598
3.51,-851.7784,0.2461724421896414,0.05485648148148139,0.63990309081638
3.525,-847.5794666666667,0.24538863553258392,0.05413935185185106,0.6139667221580557
3.54,-842.6245333333334,0.2381845253706147,0.05370452674897076,0.6054001415762098
3.5549999999999997,-838.2805333333333,0.23471228845708472,0.05343549382716007,0.588642386449306
3.57,-833.7808,0.2360859750597567,0.05356990740740676,0.5890947393488651
3.585,-829.1556,0.23320818578857713,0.052761676954732495,0.5737602072641335
3.5999999999999996,-824.86,0.22712528736727405,0.0526453189300406,0.5710954497933342
3.6149999999999998,-820.0574666666666,0.2273343395583411,0.052285339506172444,0.5561797681044702
3.63,-815.9829333333333,0.22428180147864796,0.05150190329218103,0.5398860633939749
3.645,-811.7969333333333,0.22397666270149802,0.05116517489711884,0.5307733673155114
3.6599999999999997,-807.0162666666666,0.21750872511379923,0.051207304526748834,0.527370714336617
3.675,-803.3872,0.21318170904784264,0.05062376543209819,0.512727803555362
3.69,-798.4948,0.213965141342143,0.05057690329218137,0.5126854489156263
3.705,-794.9541333333333,0.2107109881601986,0.05038770576131699,0.49647445211862434
3.7199999999999998,-791.3706666666667,0.20728827170802455,0.05031697530864172,0.5088990863865867
3.735,-785.9252,0.206599187314903,0.04995082304526727,0.48846371316452003
3.75,-782.4512,0.20507567362926915,0.04990318930041156,0.4894466264984046
3.7649999999999997,-778.5313333333334,0.20043684021234515,0.04953909465020529,0.4750271874550561
3.78,-774.7069333333334,0.2015288398170674,0.049554578189300265,0.47926979020966204
3.795,-771.0454666666667,0.19535143313905734,0.04895483539094608,0.46326246078248595
3.81,-767.0917333333333,0.19524996331919045,0.048662654320987826,0.46145119874060186
3.8249999999999997,-763.3409333333333,0.1947617293511666,0.04820159465020591,0.4527717102656612
3.84,-758.7629333333333,0.19132516628429003,0.04817572016460878,0.4546684784236597
3.855,-755.8,0.18676824039472503,0.048075514403292025,0.44238038200262403
3.8699999999999997,-752.2502666666667,0.1825943794971463,0.047585390946502104,0.43646825710771586
3.885,-748.3354666666667,0.18337562887440786,0.047617129629629135,0.4308977775580154
3.9,-745.2741333333333,0.18222660788648207,0.047124022633744996,0.4213869980997924
3.915,-741.4089333333334,0.18016197368713055,0.04702139917695442,0.4169617951286728
3.9299999999999997,-737.6149333333333,0.17952574598629956,0.04693009259259256,0.41141584637798273
3.945,-734.8092,0.17914588912837956,0.04689290123456767,0.4110169723930515
3.96,-731.1644,0.17734962334037496,0.046374948559670684,0.40153752213407923
3.9749999999999996,-727.8538666666667,0.17432143586981816,0.046195781893004294,0.3960207761851777
3.9899999999999998,-724.6432,0.17348233307983438,0.04623641975308601,0.39402247482907343
4.005,-720.5958666666667,0.17248947562244157,0.04586147119341554,0.3857798951507888
4.02,-717.7954666666667,0.1666402738846197,0.04583636831275693,0.3855266436328455
4.035,-714.5430666666666,0.1656268893268035,0.04549413580246886,0.3802221365214924
4.05,-711.1517333333334,0.16332220840737022,0.044950411522633286,0.3745463979949126
4.0649999999999995,-708.5544,0.16716202558997798,0.04471378600823028,0.36361589559238755
4.08,-704.8242666666666,0.15882745754310798,0.04497962962962953,0.36665016271282375
4.095,-701.5785333333333,0.15976656980822965,0.04482376543209869,0.35628617331183005
4.109999999999999,-698.3485333333333,0.15812515552821835,0.04471193415637847,0.36354586992147503
4.125,-696.0974666666667,0.15717316677053186,0.044534465020576064,0.35349948663591274
4.14,-692.7228,0.1572563463913424,0.0438408950617287,0.34532496927745093
4.155,-689.4657333333333,0.15685675439933672,0.04389789094650192,0.33903819532139756
4.17,-686.1989333333333,0.15363127795106155,0.0440317901234567,0.34548248110648105
4.185,-683.4432,0.1518559796147326,0.043411779835391164,0.3306255802657624
4.2,-680.7262666666667,0.1493640063820223,0.0432453189300413,0.33530117519025243
4.215,-677.5433333333333,0.15074525204429912,0.04321275720164624,0.3292062908646589
4.2299999999999995,-674.8065333333333,0.14862580318065835,0.04308245884773664,0.32150936584573175
4.245,-671.4481333333333,0.14574211329280334,0.042855349794238544,0.3149945149187046
4.26,-668.9816,0.1453349875601713,0.042723868312757124,0.3169538754097554
4.2749999999999995,-666.1102666666667,0.13954310902298048,0.04285956790123462,0.31911982600534045
4.29,-663.3222666666667,0.14491483234684166,0.042744444444444654,0.30989095904917197
4.305,-660.6750666666667,0.14138161614136507,0.04252232510288043,0.3064814815165327
4.32,-658.7697333333333,0.13782350168501198,0.042084207818930394,0.3032210412467255
